,term,score
0,weed,0.3819195626987136
1,plant,0.3817740861642126
2,purity,0.22426061696548516
3,garden,0.1741160832131132
4,mind,0.16440160032456852
5,control,0.15909877509643655
6,crankiness,0.15473532310931815
7,taught,0.15473532310931815
8,body,0.14685595170605614
9,morbidly,0.14585780794249462
10,morbidness,0.1395591106924895
11,self,0.1368715664007553
12,help,0.12945838697209422
13,possible,0.12343204416260223
14,ape,0.12180408035884245
15,pressure,0.1194972491247053
16,imprint,0.11550538310883736
17,excessive,0.11550538310883736
18,external,0.1137528763279681
19,diagram,0.11213030848274258
