,term,score
0,villa,0.3423505700671923
1,garden,0.2736823350194043
2,picture,0.20397003945472694
3,parrish,0.16214594216705036
4,foliage,0.14624290715599814
5,wharton,0.14112327339196307
6,vatican,0.13694022802687691
7,folio,0.1334035135641707
8,artistic,0.13244180189215693
9,wealth,0.13109202714316812
10,architect,0.12763754889775572
11,value,0.12408473603226199
12,italian,0.1218597637278284
13,architectural,0.12103719301582469
14,text,0.10928252240877986
15,obscure,0.10713048001752032
16,landscape,0.106110613016264
17,sculpture,0.10513415800477245
18,descriptive,0.10329771977316432
19,historical,0.10118422467043478
