,term,score
0,background,0.37304169635535556
1,italy,0.31248366674425015
2,italian,0.23470681613400804
3,foreground,0.20385683407906202
4,alp,0.18827988503313436
5,architecture,0.1596119765954697
6,garden,0.13178080179933976
7,palladio,0.1171123572833169
8,umbra,0.1171123572833169
9,marino,0.1171123572833169
10,pars,0.1171123572833169
11,cupola,0.1171123572833169
12,hermit,0.1171123572833169
13,quadrangle,0.1171123572833169
14,coma,0.11039335668853614
15,dawdler,0.11039335668853614
16,sightseer,0.11039335668853614
17,giorgione,0.11039335668853614
18,brunelleschi,0.11039335668853614
19,crucifixion,0.10562614989994204
