,term,score
0,plant,0.4752957209160721
1,arboretum,0.3082243226609813
2,shrub,0.26826218881336544
3,description,0.20260232209677173
4,garden,0.17341486977356196
5,tree,0.16612914979531246
6,ligneous,0.15411216133049066
7,eastwood,0.14527039836317635
8,acer,0.14527039836317635
9,postage,0.13015530473509934
10,botanical,0.13015530473509934
11,americana,0.13015530473509934
12,folio,0.12679382246442417
13,genus,0.12679382246442417
14,illustration,0.11849590664662306
15,comprise,0.11693762214293496
16,new,0.1167535251849368
17,know,0.11638116508799504
18,specie,0.11167872883634719
19,extra,0.11167872883634719
