,term,score
0,ye,0.4650591411891772
1,connelly,0.22983814388097704
2,sin,0.21676743135888268
3,apple,0.17156743740562008
4,priest,0.1660152813037438
5,confessional,0.14443454010978915
6,penitent,0.13819730500096347
7,sweat,0.1333593295904578
8,temptation,0.1162647852972943
9,sorry,0.11437829160374671
10,saturday,0.10558740245955116
11,world,0.0939092284378415
12,confess,0.09055927820652994
13,avoid,0.08827495683139414
14,philosophy,0.08827495683139414
15,quiet,0.08773959628958244
16,learn,0.08732806248802753
17,garden,0.08620853679125186
18,tell,0.08212531521402613
19,nature,0.08156851734128957
