,term,score
0,firth,0.45670672393437056
1,johnson,0.21506120241974683
2,derbyshire,0.1687902761382531
3,old,0.1680434842699497
4,seat,0.15738382859469494
5,garden,0.142448575291804
6,dr,0.1400569962625606
7,dive,0.13887005491084858
8,rector,0.12599699356701904
9,house,0.11736820154638901
10,great,0.11176747558182688
11,scotland,0.11045875976200709
12,church,0.10994955972344905
13,famous,0.10309070367514724
14,ruin,0.09191262313796264
15,enjoy,0.08716339137222763
16,pleasant,0.08601676867093873
17,schoolmate,0.08439513806912655
18,coke,0.08439513806912655
19,lexicographer,0.08439513806912655
