,term,matches
0,good,38
1,make,36
2,book,35
3,author,31
4,write,31
5,know,29
6,little,29
7,great,27
8,work,27
9,come,27
10,thing,26
11,pp,26
12,old,25
13,publish,24
14,tho,24
15,far,23
16,day,23
17,read,23
18,people,22
19,life,21
20,house,21
21,like,21
22,tell,21
23,young,20
24,live,20
25,use,20
26,think,19
27,present,19
28,world,19
29,story,19
30,volume,19
31,year,19
32,follow,18
33,long,18
34,away,18
35,certain,18
36,begin,18
37,conjurer,18
38,place,18
39,feel,17
40,country,17
41,bring,16
42,kind,16
43,point,16
44,small,16
45,open,16
46,fact,15
47,mind,15
48,manner,15
49,picture,15
50,deal,15
51,close,15
52,history,15
53,english,15
54,chapter,15
55,nature,14
56,american,14
57,order,14
58,hear,14
59,view,14
60,turn,14
61,appear,14
62,fall,14
63,quite,14
64,home,14
65,illustration,14
66,leave,14
67,light,14
68,high,14
69,hand,14
70,early,13
71,material,13
72,help,13
73,course,13
74,idea,13
75,result,13
76,late,13
77,poor,13
78,england,13
79,study,13
80,word,13
81,end,13
82,look,12
83,quality,12
84,rest,12
85,add,12
86,character,12
87,spirit,12
88,lie,12
89,face,12
90,produce,12
91,form,12
92,company,12
93,hold,12
94,care,12
95,mo,12
96,public,11
97,city,11
98,water,11
99,note,11
100,value,11
101,human,11
102,nearly,11
103,visit,11
104,subject,11
105,learn,11
106,night,11
107,able,11
108,contain,11
109,talk,11
110,reach,10
111,remark,10
112,purpose,10
113,return,10
114,question,10
115,large,10
116,send,10
117,sight,10
118,play,10
119,true,10
120,somewhat,10
121,room,10
122,characteristic,10
123,century,10
124,german,10
125,taste,10
126,common,10
127,charm,10
128,st,10
129,set,10
130,expect,10
131,enter,10
132,child,10
133,family,10
134,modern,10
135,especially,10
136,student,10
137,master,9
138,right,9
139,prefer,9
140,fit,9
141,fine,9
142,account,9
143,friend,9
144,build,9
145,air,9
146,future,9
147,change,9
148,war,9
149,money,9
150,lose,9
151,age,9
152,speak,9
153,land,9
154,lack,9
155,numb,9
156,society,9
157,figure,9
158,pass,9
159,class,9
160,various,9
161,remain,9
162,consider,9
163,sea,9
164,strike,9
165,travel,9
166,wise,9
167,concern,9
168,state,9
169,short,9
170,reader,9
171,pay,9
172,draw,9
173,mean,9
174,wonderful,9
175,real,9
176,illustrate,9
177,death,9
178,description,9
179,language,9
180,forget,9
181,school,9
182,try,9
183,understand,8
184,attention,8
185,attempt,8
186,eye,8
187,natural,8
188,regard,8
189,incline,8
190,want,8
191,familiar,8
192,charge,8
193,hour,8
194,beautiful,8
195,provide,8
196,perfect,8
197,sense,8
198,certainly,8
199,service,8
200,touch,8
201,doubt,8
202,example,8
203,pretty,8
204,offer,8
205,influence,8
206,artist,8
207,instance,8
208,th,8
209,literary,8
210,march,8
211,particular,8
212,strength,8
213,sign,8
214,sort,8
215,single,8
216,believe,8
217,paper,8
218,forth,8
219,field,8
220,law,8
221,general,8
222,condition,8
223,plain,8
224,door,8
225,beauty,8
226,appearance,8
227,excellent,8
228,ho,8
229,complete,8
230,quiet,8
231,need,8
232,famous,7
233,london,7
234,recent,7
235,heart,7
236,north,7
237,spend,7
238,peculiar,7
239,person,7
240,measure,7
241,near,7
242,tn,7
243,island,7
244,amuse,7
245,dwell,7
246,line,7
247,accord,7
248,letter,7
249,simple,7
250,active,7
251,reason,7
252,color,7
253,distinguish,7
254,hardly,7
255,shall,7
256,poet,7
257,portrait,7
258,difference,7
259,mention,7
260,treat,7
261,prepare,7
262,run,7
263,save,7
264,foot,7
265,experience,7
266,fight,7
267,grow,7
268,church,7
269,week,7
270,express,7
271,stand,7
272,tale,7
273,delightful,7
274,rule,7
275,possess,7
276,movement,7
277,pleasant,7
278,standard,7
279,date,7
280,lo,7
281,british,7
282,village,7
283,personal,7
284,european,7
285,grind,7
286,wild,7
287,meet,7
288,wrong,7
289,expression,7
290,position,7
291,free,7
292,brief,7
293,step,7
294,animal,7
295,impression,7
296,cent,7
297,sir,7
298,bad,7
299,rank,6
300,fly,6
301,choose,6
302,hot,6
303,ago,6
304,wind,6
305,capital,6
306,receive,6
307,product,6
308,instead,6
309,palace,6
310,delight,6
311,low,6
312,comment,6
313,support,6
314,easy,6
315,clear,6
316,wonder,6
317,degree,6
318,gentleman,6
319,wing,6
320,court,6
321,gift,6
322,gold,6
323,self,6
324,sun,6
325,cost,6
326,different,6
327,plan,6
328,obtain,6
329,mile,6
330,really,6
331,observation,6
332,month,6
333,dream,6
334,servant,6
335,compare,6
336,pleasure,6
337,serve,6
338,ancient,6
339,writer,6
340,element,6
341,altogether,6
342,process,6
343,street,6
344,ii,6
345,hard,6
346,force,6
347,establish,6
348,soon,6
349,straight,6
350,suggestion,6
351,period,6
352,include,6
353,largely,6
354,occasion,6
355,fashion,6
356,derive,6
357,publisher,6
358,fish,6
359,east,6
360,title,6
361,generally,6
362,start,6
363,deep,6
364,career,6
365,happen,6
366,style,6
367,effect,6
368,important,6
369,spite,6
370,break,6
371,game,6
372,judge,6
373,train,6
374,outside,6
375,mere,6
376,possible,6
377,let,6
378,thirty,6
379,enjoy,6
380,literature,6
381,summer,6
382,effort,6
383,scene,6
384,knowledge,6
385,attain,6
386,answer,6
387,neighbor,6
388,past,6
389,suffer,6
390,issue,6
391,arm,5
392,holiday,5
393,increase,5
394,adventure,5
395,humanity,5
396,current,5
397,devote,5
398,introduce,5
399,alter,5
400,affair,5
401,authority,5
402,equal,5
403,owe,5
404,social,5
405,poetry,5
406,prove,5
407,continue,5
408,boston,5
409,fairly,5
410,naturally,5
411,peace,5
412,custom,5
413,declare,5
414,teacher,5
415,merely,5
416,novel,5
417,nation,5
418,remember,5
419,spring,5
420,possession,5
421,romance,5
422,ordinary,5
423,event,5
424,priest,5
425,involve,5
426,verse,5
427,record,5
428,teach,5
429,observe,5
430,portion,5
431,warm,5
432,pipe,5
433,enthusiasm,5
434,chief,5
435,fee,5
436,wall,5
437,greek,5
438,power,5
439,moral,5
440,maid,5
441,buy,5
442,magic,5
443,south,5
444,university,5
445,philosophy,5
446,secret,5
447,seven,5
448,song,5
449,variety,5
450,warn,5
451,russian,5
452,foreign,5
453,finally,5
454,rise,5
455,business,5
456,group,5
457,tor,5
458,useful,5
459,italian,5
460,dark,5
461,historical,5
462,tree,5
463,pupil,5
464,grand,5
465,possibly,5
466,sketch,5
467,attend,5
468,similar,5
469,quote,5
470,tie,5
471,special,5
472,average,5
473,relative,5
474,queen,5
475,dog,5
476,humor,5
477,critical,5
478,kiss,5
479,dead,5
480,trade,5
481,ruin,5
482,existence,5
483,ill,5
484,failure,5
485,act,5
486,matter,5
487,military,5
488,furnish,5
489,dr,5
490,snow,5
491,sentiment,5
492,economic,5
493,imagination,5
494,race,5
495,music,5
496,tin,5
497,stage,5
498,road,5
499,continually,5
500,sure,5
501,entire,5
502,shape,5
503,comparative,5
504,drink,5
505,lord,5
506,food,5
507,germany,5
508,breed,5
509,el,5
510,ready,5
511,glimpse,5
512,original,5
513,extent,5
514,half,5
515,growth,5
516,october,5
517,fully,5
518,rare,5
519,theme,5
520,deserve,5
521,ask,5
522,government,5
523,ne,5
524,genius,5
525,july,5
526,collection,5
527,green,5
528,broad,5
529,dance,5
530,cloth,5
531,seal,5
532,guest,5
533,lead,5
534,ride,5
535,vary,5
536,shoulder,5
537,sympathetic,4
538,attract,4
539,main,4
540,duty,4
541,strange,4
542,golden,4
543,mouth,4
544,task,4
545,curious,4
546,remarkable,4
547,text,4
548,virtue,4
549,season,4
550,delicate,4
551,cold,4
552,attitude,4
553,arrange,4
554,ir,4
555,mood,4
556,winter,4
557,evil,4
558,pick,4
559,big,4
560,ideal,4
561,defense,4
562,genuine,4
563,minute,4
564,union,4
565,separate,4
566,egg,4
567,lesson,4
568,necessary,4
569,fellow,4
570,fair,4
571,foreigner,4
572,blood,4
573,gather,4
574,station,4
575,arc,4
576,arrangement,4
577,unite,4
578,avoid,4
579,wealth,4
580,cross,4
581,count,4
582,aid,4
583,edit,4
584,brooklyn,4
585,cover,4
586,admire,4
587,afford,4
588,stuff,4
589,editor,4
590,secretary,4
591,wish,4
592,experiment,4
593,catch,4
594,bitter,4
595,kindly,4
596,introduction,4
597,direction,4
598,continent,4
599,col,4
600,burn,4
601,path,4
602,reference,4
603,difficulty,4
604,ground,4
605,japan,4
606,selection,4
607,round,4
608,tender,4
609,ex,4
610,mistress,4
611,cure,4
612,unusual,4
613,body,4
614,box,4
615,liberty,4
616,watch,4
617,greatly,4
618,hut,4
619,guardian,4
620,insist,4
621,indicate,4
622,require,4
623,commercial,4
624,companion,4
625,problem,4
626,river,4
627,examination,4
628,chiefly,4
629,native,4
630,estimate,4
631,conduct,4
632,throw,4
633,opportunity,4
634,secure,4
635,sweep,4
636,trouble,4
637,russia,4
638,labor,4
639,die,4
640,map,4
641,gain,4
642,tone,4
643,entirely,4
644,industry,4
645,supply,4
646,white,4
647,belief,4
648,fresh,4
649,bottle,4
650,stay,4
651,army,4
652,accompany,4
653,drop,4
654,religious,4
655,scholar,4
656,weak,4
657,os,4
658,tongue,4
659,notice,4
660,roar,4
661,occupy,4
662,sympathy,4
663,loss,4
664,america,4
665,conclude,4
666,brown,4
667,exercise,4
668,feed,4
669,building,4
670,prevent,4
671,generation,4
672,historian,4
673,difficult,4
674,comparison,4
675,method,4
676,manage,4
677,rain,4
678,soul,4
679,bind,4
680,ring,4
681,italy,4
682,cast,4
683,conclusion,4
684,aspiration,4
685,celebrate,4
686,northern,4
687,ar,4
688,tea,4
689,admit,4
690,appreciation,4
691,individual,4
692,responsible,4
693,monument,4
694,arise,4
695,rescue,4
696,ha,4
697,importance,4
698,utmost,4
699,doctor,4
700,object,4
701,presumably,4
702,distinctly,4
703,seek,4
704,paint,4
705,entertain,4
706,enjoyment,4
707,intelligent,4
708,finish,4
709,officer,4
710,progress,4
711,plant,4
712,predecessor,4
713,quantity,4
714,europe,4
715,promise,4
716,lot,4
717,moment,4
718,aware,4
719,atmosphere,4
720,beat,4
721,tobacco,4
722,ship,4
723,lovely,4
724,education,4
725,stone,4
726,impose,4
727,final,4
728,hint,4
729,comprise,4
730,mar,4
731,morning,4
732,clothe,4
733,spanish,4
734,sound,4
735,burden,4
736,vast,4
737,simply,4
738,oblige,4
739,black,4
740,fortunate,4
741,political,4
742,southern,4
743,lift,4
744,compile,4
745,ambition,4
746,personality,4
747,fear,4
748,window,4
749,mighty,4
750,settle,4
751,net,4
752,unknown,4
753,intellectual,4
754,memory,4
755,valley,4
756,pure,4
757,bed,4
758,activity,4
759,allow,4
760,slow,4
761,attractive,4
762,englishman,4
763,appoint,4
764,criticism,4
765,indian,4
766,contemporary,4
767,surprise,4
768,connect,3
769,convert,3
770,surpass,3
771,journey,3
772,route,3
773,ability,3
774,afterward,3
775,virgin,3
776,amusement,3
777,com,3
778,rejoice,3
779,govern,3
780,ia,3
781,tire,3
782,musical,3
783,gratify,3
784,exquisite,3
785,shakespeare,3
786,direct,3
787,coast,3
788,tragedy,3
789,cite,3
790,feminine,3
791,poetic,3
792,ton,3
793,paris,3
794,hook,3
795,innocent,3
796,perfectly,3
797,fond,3
798,crime,3
799,mechanic,3
800,walk,3
801,landscape,3
802,commence,3
803,report,3
804,purely,3
805,quarter,3
806,kitchen,3
807,square,3
