,topic,fit
0,history--dr--volume--poet--work--prof--state--edition--life--poetry,0.804570662
1,irish--crockett--maid--sir--waif--galloway--garden--vidal--story--church,0.788692713
2,huguenot--montaigne--gracchus--dyke--court--wise--detective--tiberius--decision--old,0.774456238
3,radium--quiet--impulse--old--radical--breathe--sweet--terrific--home--ship,0.782920836
4,hawker--thackeray--story--promoter--hound--marquise--xix--legend--newman--paper,0.408319107
5,history--dr--volume--poet--work--prof--state--edition--life--poetry,0.786501315
6,ireland--irish--law--god--international--state--novel--millionaire--widow--unite,0.504943479
7,japanese--war--russian--negro--russia--japan--sea--story--czar--battle,0.772942973
8,jamaica--myth--cross--lodge--harding--novel--loomis--boston--medal--ball,0.628743655
9,history--dr--volume--poet--work--prof--state--edition--life--poetry,0.746679404
10,letter--st--saint--dr--church--life--war--article--constitution--parish,0.770065165
11,copyright--royalist--caricature--decision--real--paris--brown--juvenile--xviii--jacobin,0.768533256
12,motor--car--proverb--india--trust--tree--tea--inflorescence--cent--sign,0.642437288
13,letter--st--saint--dr--church--life--war--article--constitution--parish,0.675964887
14,animal--iowa--worry--revenge--firm--seton--pigeon--territory--ghastly--delicate,0.805692938
15,history--dr--volume--poet--work--prof--state--edition--life--poetry,0.356881412
16,hawker--thackeray--story--promoter--hound--marquise--xix--legend--newman--paper,0.447806111
17,courtship--widow--testament--story--tariff--dollar--charter--california--luck--protection,0.455297943
18,japanese--war--russian--negro--russia--japan--sea--story--czar--battle,0.591089927
19,card--reverend--young--strategy--mare--foley--delegate--memoir--los--walk,0.75863389
20,bacon--balloon--anarchist--soil--ghost--howell--charter--airship--sociology--mad,0.504335662
21,book--plant--plate--stevenson--auction--hawaiian--canal--child--burr--venice,0.639708591
22,antarctic--mission--ice--forestry--china--rat--polar--winter--mile--probationer,0.559058653
23,yacht--island--young--lotto--utopia--friend--soto--dolor--story--bahama,0.581839906
24,hawker--thackeray--story--promoter--hound--marquise--xix--legend--newman--paper,0.498696505
25,irish--crockett--maid--sir--waif--galloway--garden--vidal--story--church,0.637192531
26,history--dr--volume--poet--work--prof--state--edition--life--poetry,0.753199356
27,letter--st--saint--dr--church--life--war--article--constitution--parish,0.662086123
28,history--dr--volume--poet--work--prof--state--edition--life--poetry,0.441300184
29,bacon--balloon--anarchist--soil--ghost--howell--charter--airship--sociology--mad,0.697143611
30,book--plant--plate--stevenson--auction--hawaiian--canal--child--burr--venice,0.446785212
31,orchid--shrub--scab--tree--garden--villa--picture--yacht--text--picker,0.658455827
